trade_date,symbol,name,board,industry,close,pct_chg,turnover_pct,future_5_trade_date,future_5_return,future_5_direction,future_5_up_label,predicted_top_quantile_prob,predicted_non_top_quantile_prob,top_quantile_threshold,target_threshold,rank_by_raw_top_quantile_prob,overheat_penalty,overheat_penalty_reason,top_quantile_signal_score,predicted_top_quantile,rank_by_top_quantile_prob,actual_future_5_return_rank,actual_top_quantile_label,model_type,anchor_date,train_start,train_end,train_rows,train_dates,train_label_up_threshold,train_label_down_threshold,train_exclude_st,prediction_exclude_st,target_mode,top_quantile,overheat_penalty_enabled,anchor_stock_count,anchor_coverage_ratio,turnover_pct_feature,ret_5,ret_20,volatility_5,range_pos_20,market_up_ratio,market_avg_pct_chg,industry_up_ratio,industry_avg_pct_chg,is_pre_holiday_3,is_post_holiday_3,pre_holiday_tday,post_holiday_tday,holiday_gap_days,turnover_pct_pctile,ret_5_pctile,ret_20_pctile,volatility_5_pctile,range_pos_20_pctile,market_index_count,market_avg_up_prob,market_avg_down_prob,market_high_risk_count,weak_trend_count,rebound_count,pullback_count,low_risk_count,neutral_count,aggregate_market_regime,aggregate_market_risk_level,is_overheat_candidate,is_weak_industry_candidate,is_volatility_industry_drag_candidate,is_medium_hot_short_broken_candidate,is_high_risk_intraday_break_candidate,is_high_risk_limit_up_chase_candidate,is_fragile_candidate,signal_eligible_rank,signal_action,signal_count,signal_reason,final_signal_rank,is_final_signal
2026-02-02,603618,杭电股份,沪市主板,电网设备,9.94,9.9558,1.7293,2026-02-09,0.5171026156941652,上涨,1.0,0.7520807744790956,0.2479192255209044,0.2,0.5,1,0.0,,0.7520807744790956,1,1,1.0,1.0,LightGBM,2026-02-02,2025-02-05,2026-01-23,49074,240,0.01,-0.01,1,1,top_quantile,0.2,0,223,0.9780701754385964,1.7293,0.132118451025057,0.1918465227817745,0.0724771821562223,0.9999999995073892,0.1434977578475336,-2.3513161434977574,0.6666666666666666,3.358222222222222,0,0,0,0,0,0.2914798206278027,0.9910313901345291,0.9181818181818182,0.9775784753363229,1.0,6,0.5320997628119771,0.4679002371880228,2,0,0,0,0,6,中性,中风险,1,0,0,0,0,0,1,,不出手,0,Top候选全部脆弱,1,0
2026-02-02,601168,西部矿业,沪市主板,工业金属,31.9997898,-10.0,4.8369,2026-02-09,-0.0003121098626716,下跌,0.0,0.6981346334683981,0.3018653665316019,0.2,0.5,2,0.0,,0.6981346334683981,1,2,188.0,0.0,LightGBM,2026-02-02,2025-02-05,2026-01-23,49074,240,0.01,-0.01,1,1,top_quantile,0.2,0,223,0.9780701754385964,4.8369,-0.0819484240687679,0.1414321339508373,0.081714508180728,0.3265306122210683,0.1434977578475336,-2.3513161434977574,0.0,-6.828100000000001,0,0,0,0,0,0.8340807174887892,0.2242152466367713,0.8772727272727273,0.9820627802690582,0.6816143497757847,6,0.5320997628119771,0.4679002371880228,2,0,0,0,0,6,中性,中风险,0,1,1,0,0,0,1,,不出手,0,Top候选全部脆弱,2,0
2026-02-02,002378,章源钨业,深市主板,小金属,22.3,-2.1501,6.9941,2026-02-09,0.1295964125560538,上涨,1.0,0.6918410982736093,0.3081589017263907,0.2,0.5,3,0.0,,0.6918410982736093,1,3,10.0,1.0,LightGBM,2026-02-02,2025-02-05,2026-01-23,49074,240,0.01,-0.01,1,1,top_quantile,0.2,0,223,0.9780701754385964,6.9941,-0.0333766796705677,0.5443213296398892,0.0554510173319242,0.6606990621772635,0.1434977578475336,-2.3513161434977574,0.25,-1.8152,0,0,0,0,0,0.9103139013452914,0.6995515695067265,0.9863636363636363,0.9237668161434978,0.8923766816143498,6,0.5320997628119771,0.4679002371880228,2,0,0,0,0,6,中性,中风险,0,1,0,0,0,0,1,,不出手,0,Top候选全部脆弱,3,0
2026-02-03,600330,天通股份,沪市主板,电子化学品Ⅱ,15.4,10.0,5.668,2026-02-10,0.1155844155844154,上涨,1.0,0.7969960171623931,0.2030039828376069,0.2,0.5,1,0.0,,0.7969960171623931,1,1,8.0,1.0,LightGBM,2026-02-03,2025-02-05,2026-01-26,49281,241,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,5.668,0.1773700305810397,0.2183544303797469,0.0646017404187822,0.9999999997613364,0.90625,2.616551339285714,1.0,10.0,0,0,0,0,0,0.8928571428571429,0.9955156950672646,0.9272727272727272,0.9596412556053812,1.0,6,0.7018151692924371,0.2981848307075629,1,0,0,0,0,6,中性,低风险,0,0,0,0,0,0,0,1.0,Top3,3,合格候选允许Top3,1,1
2026-02-03,603618,杭电股份,沪市主板,电网设备,10.93,9.9598,6.4771,2026-02-10,0.3394327538883808,上涨,1.0,0.7246788325465836,0.2753211674534164,0.2,0.5,2,0.0,,0.7246788325465836,1,2,1.0,1.0,LightGBM,2026-02-03,2025-02-05,2026-01-26,49281,241,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,6.4771,0.2843713278495887,0.3058542413381124,0.0698244384200119,0.999999999668874,0.90625,2.616551339285714,1.0,3.3254444444444444,0,0,0,0,0,0.9241071428571429,1.0,0.9545454545454546,0.9730941704035875,0.9910313901345291,6,0.7018151692924371,0.2981848307075629,1,0,0,0,0,6,中性,低风险,0,0,0,0,0,0,0,2.0,Top3,3,合格候选允许Top3,2,1
2026-02-03,002378,章源钨业,深市主板,小金属,23.19,3.991,5.8496,2026-02-10,0.0836567485985337,上涨,1.0,0.7202074603180991,0.2797925396819009,0.2,0.5,3,0.0,,0.7202074603180991,1,3,14.0,1.0,LightGBM,2026-02-03,2025-02-05,2026-01-26,49281,241,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,5.8496,-0.014449638759031,0.546,0.0583878864031105,0.7253333332688593,0.90625,2.616551339285714,0.75,2.62525,0,0,0,0,0,0.9017857142857143,0.6816143497757847,0.990909090909091,0.9327354260089686,0.874439461883408,6,0.7018151692924371,0.2981848307075629,1,0,0,0,0,6,中性,低风险,0,0,0,0,0,0,0,3.0,Top3,3,合格候选允许Top3,3,1
2026-02-04,002378,章源钨业,深市主板,小金属,22.86,-1.423,4.3542,2026-02-11,0.2090988626421697,上涨,1.0,0.725197434366932,0.274802565633068,0.2,0.5,1,0.0,,0.725197434366932,1,1,3.0,1.0,LightGBM,2026-02-04,2025-02-05,2026-01-27,49498,242,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,4.3542,-0.0989357508868743,0.4314339386349404,0.0378392670753345,0.6833333332700616,0.5133928571428571,0.222815625,0.0,-1.047975,0,0,0,0,0,0.8258928571428571,0.08071748878923767,0.9818181818181818,0.7668161434977578,0.8430493273542601,6,0.7231549408564703,0.2768450591435297,1,0,0,0,0,6,中性,低风险,0,1,0,0,0,0,1,,不出手,0,候选股行业弱势过多,1,0
2026-02-04,601069,西部黄金,沪市主板,贵金属,37.6,-5.2658,6.6247,2026-02-11,-0.066755319148936,下跌,0.0,0.711897968345277,0.288102031654723,0.2,0.5,2,0.0,,0.711897968345277,1,2,211.0,0.0,LightGBM,2026-02-04,2025-02-05,2026-01-27,49498,242,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,6.6247,-0.150474469046543,0.3534917206623469,0.0794427292153825,0.4386422976310426,0.5133928571428571,0.222815625,0.3333333333333333,-1.489,0,0,0,0,0,0.9241071428571429,0.017937219730941704,0.9681818181818181,0.9955156950672646,0.6771300448430493,6,0.7231549408564703,0.2768450591435297,1,0,0,0,0,6,中性,低风险,0,1,1,0,0,0,1,,不出手,0,候选股行业弱势过多,2,0
2026-02-04,603685,晨丰科技,沪市主板,光学光电子,23.16,-1.3208,2.5483,2026-02-11,0.0677892918825562,上涨,1.0,0.7002594381516958,0.2997405618483042,0.2,0.5,3,0.0,,0.7002594381516958,1,3,16.0,1.0,LightGBM,2026-02-04,2025-02-05,2026-01-27,49498,242,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,2.5483,0.047016274864376,0.2138364779874215,0.0401172859104949,0.8470209338410596,0.5133928571428571,0.222815625,0.3333333333333333,2.1895666666666664,0,0,0,0,0,0.6071428571428571,0.8968609865470852,0.9318181818181818,0.7892376681614349,0.9192825112107623,6,0.7231549408564703,0.2768450591435297,1,0,0,0,0,6,中性,低风险,0,0,0,0,0,0,0,1.0,不出手,0,候选股行业弱势过多,3,0
2026-02-05,601069,西部黄金,沪市主板,贵金属,35.5,-5.5851,5.327,2026-02-12,-0.0276056338028167,下跌,0.0,0.7518171031310703,0.2481828968689297,0.2,0.5,1,0.0,,0.7518171031310703,1,1,189.0,0.0,LightGBM,2026-02-05,2025-02-05,2026-01-28,49711,243,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,5.327,-0.2708975148901211,0.2760603882099208,0.0326048136637756,0.3403693931248738,0.2901785714285714,-0.891625,0.0,-4.907666666666667,0,0,0,0,0,0.8883928571428571,0.008968609865470852,0.95,0.7142857142857143,0.6233183856502242,6,0.6123458159467093,0.3876541840532906,2,0,0,0,0,6,中性,中风险,0,1,0,0,0,0,1,,不出手,0,Top候选全部脆弱,1,0
2026-02-05,002378,章源钨业,深市主板,小金属,22.55,-1.3561,4.3499,2026-02-12,0.3481152993348113,上涨,1.0,0.7122775527704183,0.2877224472295817,0.2,0.5,2,0.0,,0.7122775527704183,1,2,2.0,1.0,LightGBM,2026-02-05,2025-02-05,2026-01-28,49711,243,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,4.3499,-0.0584551148225469,0.4418158567774937,0.0320891447688547,0.6450999047911418,0.2901785714285714,-0.891625,0.25,-1.95645,0,0,0,0,0,0.8214285714285714,0.21076233183856502,0.9818181818181818,0.7008928571428571,0.8251121076233184,6,0.6123458159467093,0.3876541840532906,2,0,0,0,0,6,中性,中风险,0,1,0,0,0,0,1,,不出手,0,Top候选全部脆弱,2,0
2026-02-05,002552,宝鼎科技,深市主板,元件,20.0,-0.3488,2.5465,2026-02-12,0.0175,上涨,1.0,0.6884803893260968,0.3115196106739032,0.2,0.5,3,0.0,,0.6884803893260968,1,3,106.0,0.0,LightGBM,2026-02-05,2025-02-05,2026-01-28,49711,243,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,2.5465,-0.057048561999057,0.1547344110854502,0.0529761486693512,0.4973730296852235,0.2901785714285714,-0.891625,0.0,-1.7298285714285713,0,0,0,0,0,0.6160714285714286,0.2242152466367713,0.9045454545454545,0.9419642857142857,0.7623318385650224,6,0.6123458159467093,0.3876541840532906,2,0,0,0,0,6,中性,中风险,0,1,0,0,0,0,1,,不出手,0,Top候选全部脆弱,3,0
2026-02-06,601069,西部黄金,沪市主板,贵金属,35.25,-0.7042,4.492,2026-02-13,-0.0382978723404255,下跌,0.0,0.7303815492058824,0.2696184507941176,0.2,0.5,1,0.0,,0.7303815492058824,1,1,187.0,0.0,LightGBM,2026-02-06,2025-02-06,2026-01-29,49730,243,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,4.492,-0.2117620751341681,0.2205678670360111,0.0374157625646121,0.2998163452571251,0.4866071428571428,0.2444276785714285,0.0,-1.3910666666666665,0,0,0,0,0,0.8303571428571429,0.008968609865470852,0.9272727272727272,0.78125,0.5874439461883408,6,0.413785322399236,0.5862146776007641,2,0,1,0,0,5,中性,中风险,0,1,0,0,0,0,1,,Top2,2,合格候选Top2分数达标,1,0
2026-02-06,002552,宝鼎科技,深市主板,元件,20.6,3.0,3.2506,2026-02-13,-0.0427184466019419,下跌,0.0,0.7024166278069144,0.2975833721930856,0.2,0.5,2,0.0,,0.7024166278069144,1,2,195.0,0.0,LightGBM,2026-02-06,2025-02-06,2026-01-29,49730,243,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,3.2506,0.0701298701298702,0.175128351397604,0.0281287785221888,0.5975177303905111,0.4866071428571428,0.2444276785714285,0.7142857142857143,0.7495857142857142,0,0,0,0,0,0.7410714285714286,0.9237668161434978,0.9181818181818182,0.6205357142857143,0.8161434977578476,6,0.413785322399236,0.5862146776007641,2,0,1,0,0,5,中性,中风险,0,0,0,0,0,0,0,1.0,Top2,2,合格候选Top2分数达标,2,1
2026-02-06,603826,坤彩科技,沪市主板,非金属材料Ⅱ,19.5,0.2055,6.2106,2026-02-13,-0.0564102564102564,下跌,0.0,0.6969313387395727,0.3030686612604273,0.2,0.5,3,0.0,,0.6969313387395727,1,3,206.0,0.0,LightGBM,2026-02-06,2025-02-06,2026-01-29,49730,243,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,6.2106,0.1904761904761904,0.1200459506031017,0.0591075580003868,0.7278106507440216,0.4866071428571428,0.2444276785714285,0.6666666666666666,1.0023333333333333,0,0,0,0,0,0.8973214285714286,0.9955156950672646,0.8727272727272727,0.9732142857142857,0.8789237668161435,6,0.413785322399236,0.5862146776007641,2,0,1,0,0,5,中性,中风险,0,0,0,0,0,0,0,2.0,Top2,2,合格候选Top2分数达标,3,1
2026-02-09,601069,西部黄金,沪市主板,贵金属,35.19,-0.1702,3.6428,2026-02-24,0.0247229326513216,上涨,1.0,0.725515998770791,0.274484001229209,0.2,0.5,1,0.0,,0.725515998770791,1,1,69.0,0.0,LightGBM,2026-02-09,2025-02-10,2026-01-30,49546,242,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,3.6428,-0.1257142857142857,0.1993865030674846,0.025967987051724,0.2845794392390381,0.8214285714285714,1.4363794642857144,0.6666666666666666,1.3055333333333332,0,0,0,0,0,0.7633928571428571,0.004484304932735426,0.9318181818181818,0.6696428571428571,0.45089285714285715,6,0.8064408830980972,0.19355911690190264,0,0,0,0,6,0,低风险,低风险,0,0,0,0,0,0,0,1.0,Top3,3,合格候选允许Top3,1,1
2026-02-09,600176,中国巨石,沪市主板,玻璃玻纤,22.44,2.0464,1.83,2026-02-24,0.2611408199643492,上涨,1.0,0.7048651260658643,0.2951348739341357,0.2,0.5,2,0.0,,0.7048651260658643,1,2,2.0,1.0,LightGBM,2026-02-09,2025-02-10,2026-01-30,49546,242,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,1.83,0.1136476426799009,0.2592592592592593,0.024900192151912,0.9385474858587438,0.8214285714285714,1.4363794642857144,1.0,2.0464,0,0,0,0,0,0.46205357142857145,0.9282511210762332,0.9545454545454546,0.6339285714285714,0.9553571428571429,6,0.8064408830980972,0.19355911690190264,0,0,0,0,6,0,低风险,低风险,0,0,0,0,0,0,0,2.0,Top3,3,合格候选允许Top3,2,1
2026-02-09,002757,南兴股份,深市主板,专用设备,22.36,2.0539,9.9294,2026-02-24,0.026386404293381,上涨,1.0,0.6920585243009454,0.3079414756990546,0.2,0.5,3,0.0,,0.6920585243009454,1,3,63.0,0.0,LightGBM,2026-02-09,2025-02-10,2026-01-30,49546,242,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,9.9294,0.048780487804878,-0.1718518518518519,0.0389316119932217,0.3042198233263767,0.8214285714285714,1.4363794642857144,1.0,1.53808,0,0,0,0,0,0.9375,0.7713004484304933,0.05,0.8705357142857143,0.48214285714285715,6,0.8064408830980972,0.19355911690190264,0,0,0,0,6,0,低风险,低风险,0,0,0,0,0,0,0,3.0,Top3,3,合格候选允许Top3,3,1
2026-02-10,600176,中国巨石,沪市主板,玻璃玻纤,23.32,3.9216,2.261,2026-02-25,0.1843910806174957,上涨,1.0,0.6992617120691418,0.3007382879308582,0.2,0.5,1,0.0,,0.6992617120691418,1,1,3.0,1.0,LightGBM,2026-02-10,2025-02-10,2026-02-02,49755,243,0.01,-0.01,1,1,top_quantile,0.2,0,224,0.9824561403508772,2.261,0.1271145480908651,0.3204983012457532,0.026088923856873,0.9426751590855612,0.4285714285714285,-0.1848366071428571,1.0,3.9216,0,0,0,0,0,0.6294642857142857,0.9732142857142857,0.9681818181818181,0.7410714285714286,0.9866071428571429,6,0.6261559016376529,0.37384409836234705,0,0,0,0,4,2,低风险,低风险,0,0,0,0,0,0,0,1.0,Top1,1,只保留Top1,1,1
